Normalized Velocity Angular,Cadence (RPM),Cadence Weighted (RPM),,,,,
0,0,0,,,,,
0,0,0,,,,,
0,0,0,,,,,
0,0,0,,,,,
0,0,0,,,,,
0,0,0,,,,,
0,0,0,,,,,
0,0,0,,,,,
-7.06,1.176666667,0.235333333,,,,,
-9.14,1.523333333,0.492933333,,,,,
-12,2,0.794346667,,,,,
-16.09,2.681666667,1.171810667,,,,,
-19.69,3.281666667,1.593781867,,,,,
-30.17,5.028333333,2.28069216,,,,,
-27.19,4.531666667,2.730887061,,,,,
-26.88,4.48,3.080709649,,,,,
-31.64,5.273333333,3.519234386,,,,,
-38.16,6.36,4.087387509,,,,,
-43.59,7.265,4.722910007,,,,,
-50.6,8.433333333,5.464994672,,,,,
-57.67,9.611666667,6.294329071,,,,,
-64.75,10.79166667,7.19379659,,,,,
-72.67,12.11166667,8.177370606,,,,,
-80.3,13.38333333,9.218563151,,,,,
-87.49,14.58166667,10.29118385,,,,,
-96.45,16.075,11.44794708,,,,,
-105.84,17.64,12.68635767,,,,,
-111.27,18.545,13.85808613,,,,,
-120.05,20.00833333,15.08813557,,,,,
-128.65,21.44166667,16.35884179,,,,,
-137.19,22.865,17.66007343,,,,,
-147.06,24.51,19.03005875,,,,,
-153.77,25.62833333,20.34971366,,,,,
-162,27,21.67977093,,,,,
-164.93,27.48833333,22.84148341,,,,,
-174.68,29.11333333,24.0958534,,,,,
-182.67,30.445,25.36568272,,,,,weight
-189.81,31.635,26.61954617,,,,,0.8
-197.49,32.915,27.87863694,,,,,
-201.27,33.545,29.01190955,,,,,
-212.31,35.385,30.28652764,,,,,
-214.87,35.81166667,31.39155545,,,,,
-224.26,37.37666667,32.58857769,,,,,
-231.15,38.525,33.77586215,,,,,
-237.25,39.54166667,34.92902306,,,,,
-243.28,40.54666667,36.05255178,,,,,
-245.42,40.90333333,37.02270809,,,,,
-262.06,43.67666667,38.3534998,,,,,
-249.14,41.52333333,38.98746651,,,,,
-260.84,43.47333333,39.88463987,,,,,
-264.81,44.135,40.7347119,,,,,
-272.12,45.35333333,41.65843619,,,,,
-277.98,46.33,42.59274895,,,,,
-280.29,46.715,43.41719916,,,,,
